source;target;weight
Luxembourg;Germany;16.269
Mozambique;Malawi;69791.67
Oman;Iran;1638.491
Netherlands;Albania;1.162
Netherlands;Algeria;4.648
Netherlands;Andorra;5.81
Netherlands;Angola;4.648
Netherlands;Azerbaijan;6.973
Netherlands;Argentina;8.135
Netherlands;Australia;65.078
Netherlands;Austria;5645.482
Netherlands;Bahrain;4.648
Netherlands;Bangladesh;2.324
Netherlands;Armenia;3.486
Netherlands;Belgium;9998414.389
Netherlands;Bolivia;10.459
Netherlands;Bosnia Herzegovina;10.459
Netherlands;Brazil;44.16
Netherlands;Bulgaria;564.781
Netherlands;Myanmar;2.324
Netherlands;Belarus;13.945
Netherlands;Cambodia;1.162
Netherlands;Cameroon;5.81
Netherlands;Cabo Verde;1.162
Netherlands;Sri Lanka;12.783
Netherlands;Chile;5.81
Netherlands;China;132.479
Netherlands;Colombia;5.81
Netherlands;Congo;5.81
Netherlands;Congo (Democratic Republic);1.162
Netherlands;Costa Rica;1.162
Netherlands;Croatia;584.536
Netherlands;Cyprus;461.354
Netherlands;Czechia;6972.6
Netherlands;Benin;4.648
Netherlands;Denmark;1032511.905
Netherlands;Dominica;1.162
Netherlands;Dominican Republic;1.162
Netherlands;Ecuador;12.783
Netherlands;Equatorial Guinea;1.162
Netherlands;Ethiopia;1.162
Netherlands;Estonia;327.712
Netherlands;Finland;2567.079
Netherlands;France;5448790.564
Netherlands;French Polynesia;1.162
Netherlands;Djibouti;3.486
Netherlands;Gabon;2.324
Netherlands;Georgia;1.162
Netherlands;Gambia;1.162
Netherlands;Germany;43975314.3
Netherlands;Ghana;15.107
Netherlands;Gibraltar;1.162
Netherlands;Greece;3049.35
Netherlands;Guatemala;5.81
Netherlands;Guyana;1.162
Netherlands;Hong Kong;32.539
Netherlands;Hungary;6391.55
Netherlands;Iceland;965550.541
Netherlands;Indonesia;16.269
Netherlands;Iran;3.486
Netherlands;Iraq;2.324
Netherlands;Ireland;930715.431
Netherlands;Israel;36.025
Netherlands;Italy;18177.568
Netherlands;Côte d'Ivoire;11.621
Netherlands;Jamaica;5.81
Netherlands;Japan;84.833
Netherlands;Kazakhstan;17.431
Netherlands;Jordan;4.648
Netherlands;Kenya;6.973
Netherlands;South Korea;36.025
Netherlands;Kuwait;29.052
Netherlands;Kyrgyzstan;1.162
Netherlands;Lebanon;23.242
Netherlands;Latvia;400436.418
Netherlands;Liberia;1.162
Netherlands;Libya;6.973
Netherlands;Lithuania;1087.726
Netherlands;Luxembourg;923226.859
Netherlands;Malaysia;19.756
Netherlands;Maldives;1.162
Netherlands;Malta;331.198
Netherlands;Mauritius;1.162
Netherlands;Mexico;26.728
Netherlands;Moldova;1.162
Netherlands;Montenegro;1.162
Netherlands;Morocco;22.08
Netherlands;Mozambique;1.162
Netherlands;Oman;6.973
Netherlands;Nepal;1.162
Netherlands;Curacao;11.621
Netherlands;Aruba;15.107
Netherlands;Sint Maarten;3.486
Netherlands;Bonaire;2.324
Netherlands;New Caledonia;1.162
Netherlands;New Zealand;15.107
Netherlands;Nigeria;29.052
Netherlands;Norway;5513914.648
Netherlands;Pakistan;15.107
Netherlands;Panama;1.162
Netherlands;Papua New Guinea;1.162
Netherlands;Peru;9.297
Netherlands;Philippines;17.431
Netherlands;Poland;16025.359
Netherlands;Portugal;3417.736
Netherlands;Romania;3148.129
Netherlands;Russian Federation;166.18
Netherlands;Rwanda;2.324
Netherlands;Saudi Arabia;83.671
Netherlands;Senegal;1.162
Netherlands;Serbia;9.297
Netherlands;Sierra Leone;1.162
Netherlands;India;45.322
Netherlands;Singapore;44.16
Netherlands;Slovakia;1789.634
Netherlands;Viet Nam;15.107
Netherlands;Slovenia;557.808
Netherlands;South Africa;713886.165
Netherlands;Zimbabwe;1.162
Netherlands;Spain;979894.341
Netherlands;Sudan;2.324
Netherlands;Suriname;10.459
Netherlands;Sweden;677392.738
Netherlands;Switzerland;18098.545
Netherlands;Tajikistan;1.162
Netherlands;Thailand;30.215
Netherlands;Trinidad and Tobago;3.486
Netherlands;United Arab Emirates;106.913
Netherlands;Tunisia;17.431
Netherlands;Turkey;147.587
Netherlands;Turkmenistan;2.324
Netherlands;Uganda;2.324
Netherlands;Ukraine;55.781
Netherlands;North Macedonia;12.783
Netherlands;Egypt;17.431
Netherlands;United Kingdom;3920708.087
Netherlands;United Rep. of Tanzania;4.648
Netherlands;Burkina Faso;1.162
Netherlands;Uruguay;4.648
Netherlands;Uzbekistan;1.162
Netherlands;Venezuela;1.162
Netherlands;Yemen;1.162
Netherlands;Zambia;1.162
New Zealand;Fiji;122.24
Pakistan;Iraq;5906.516
Peru;Bolivia;82690.1
Peru;Ecuador;163071.18
Peru;Mexico;52447.45
Peru;Panama;13201.85
Peru;Spain;1219973.52
Peru;Venezuela;1853206.37
Philippines;China;12098500
Philippines;Viet Nam;1127000
Poland;Austria;9871719
Poland;Bosnia Herzegovina;88901
Poland;Czechia;22643893
Poland;Denmark;382133
Poland;Germany;12606544
Poland;Hungary;314718
Poland;Ireland;483813
Poland;Latvia;3583
Poland;Lithuania;24
Poland;Netherlands;1397
Poland;Norway;803464
Poland;Romania;497750
Poland;Slovakia;5287335
Poland;Sweden;1036155
Poland;Switzerland;113622
Poland;Ukraine;10740029
Poland;United Kingdom;792121
Portugal;Spain;14461.172
Romania;Italy;186.09
Russian Federation;Belize;314167
Russian Federation;British Virgin Islands;16341299
Russian Federation;Bulgaria;30617
Russian Federation;Belarus;1308960
Russian Federation;China;3065218
Russian Federation;Cyprus;141777939
Russian Federation;Estonia;120624
Russian Federation;Finland;2095945
Russian Federation;Germany;30798
Russian Federation;Hong Kong;2607114
Russian Federation;Japan;206959
Russian Federation;Kazakhstan;1412415
Russian Federation;South Korea;15049895
Russian Federation;Moldova;77144
Russian Federation;Marshall Islands;1467713
Russian Federation;Panama;301731
Russian Federation;Poland;1571366
Russian Federation;Seychelles;990223
Russian Federation;Singapore;99220101
