source;target;weight
Poland;Ireland;2943243
Poland;Ireland;2943243
Poland;Norway;1030734
Poland;Norway;1030734
Italy;Slovenia;12605.061
Italy;Slovenia;12605.061
Poland;Slovenia;109440
Poland;Slovenia;109440
Poland;Sweden;1928260
Poland;Sweden;1901230
Poland;Sweden;27030
Ireland;United Kingdom;26006.658
Italy;United Kingdom;46.93
Italy;United Kingdom;38.051
Ireland;United Kingdom;25609.659
Ireland;United Kingdom;397
Italy;United Kingdom;8.879
Poland;United Kingdom;10210495
Poland;United Kingdom;10210495
Spain;Portugal;302773.427
Spain;Portugal;281957.814
Spain;Portugal;20815.613
Zimbabwe;Zambia;68223.8
Zimbabwe;Zambia;68223.8
Turkey;Cyprus;8066
Turkey;Cyprus;781
Turkey;Cyprus;7285
Lithuania;Latvia;5714
Lithuania;Latvia;5714
Poland;Austria;15141271
Poland;Austria;6389554
Poland;Austria;8751717
Spain;Austria;9375.791
Spain;Austria;9375.791
Italy;France;65830.94
Italy;France;17897.969
Italy;France;47897.456
Italy;France;35.514
Spain;France;315175.168
Spain;France;195951.001
Spain;France;119224.167
Turkey;Israel;15720
Turkey;Israel;15720
Malawi;United Rep. of Tanzania;167214.155
Malawi;United Rep. of Tanzania;167214.155
Poland;Netherlands;4207126
Poland;Netherlands;4207126
Spain;Netherlands;47842.358
Spain;Netherlands;47842.358
Malawi;Mozambique;10033.272
Malawi;Mozambique;10033.272
Italy;Germany;3590.755
Italy;Germany;3590.755
Poland;Germany;30819951
Poland;Germany;62703
Poland;Germany;1951944
Poland;Germany;28805280
Poland;Germany;24
Poland;Czechia;13235089
Poland;Czechia;68748
Poland;Czechia;8716006
Poland;Czechia;4450335
France;Italy;76497.931
France;Italy;76497.931
Poland;Italy;4176642
Poland;Italy;32947
Poland;Italy;4143695
Poland;Serbia;10210
Poland;Serbia;10210
Turkey;Iraq;2862
Turkey;Iraq;2862
Lesotho;South Africa;100.324
Lesotho;South Africa;100.324
Poland;Croatia;19133
Poland;Croatia;19133
