source;target;weight
Norway;United Kingdom;412266889.1
Norway;Mauritania;1001207.952
Norway;Türkiye;14018956.99
Norway;Guatemala;22409292.04
Norway;Sweden;58198388.92
Norway;Finland;19098478.07
Norway;Poland;4997423.665
Norway;United Kingdom;208746943.3
Norway;Germany;532072536.9
Norway;Spain;37613892.36
Norway;Netherlands;124935593.5
Norway;Czechia;58988034.42
Norway;Italy;88231722.31
Norway;Belgium;111713708.6
Norway;Belgium;152897501.6
Norway;Spain;37613892.36
Norway;Italy;88231722.31
Norway;Germany;536237859.7
France;Portugal;151.289
France;Brazil;8570.205
France;Hungary;439.343
France;Spain;55613945.41
France;Malta;67.777
France;Belgium;31.468
France;Switzerland;19308954.12
France;Italy;150281093.1
France;Italy;193526979.9
France;Germany;7853545.46
France;Cyprus;137.437
France;Switzerland;6038785.14
Norway;Netherlands;141938802
Norway;Poland;5873657.914
Norway;Czechia;58988034.42
Norway;United Kingdom;213436811.2
Norway;USA;23600974.29
Norway;France;235385174.7
Norway;France;237058484.6
Norway;Switzerland;189868.517
Norway;France;237058484.6
Norway;Spain;37613892.36
France;Spain;25405012.59
France;Netherlands;2755353.16
France;Denmark;35568.075
France;Israel;13484.423
France;Ireland;19076.369
France;Japan;86383.875
France;Côte d'Ivoire;9311.952
France;China, Hong Kong SAR;6876.518
France;Switzerland;6103957.484
France;United Kingdom;9126004.314
France;Portugal;9948.262
France;Netherlands;6474968.626
France;Morocco;19683321.4
France;Luxembourg;1252.89
France;Italy;116105147.9
France;Greece;462330.958
France;Germany;8247255.093
France;Gabon;1905.717
France;Czechia;24938.76
France;Cyprus;137.437
France;Belgium;36404.969
France;Bahrain;5486.454
France;Austria;1203.805
France;Algeria;5129.362
France;Spain;27289363.34
France;United Kingdom;12.271
France;Italy;110688416.9
France;Italy;750.997
Norway;Poland;5873657.914
Norway;Germany;536237859.7
Norway;United Kingdom;213436811.2
Norway;Italy;88231722.31
Norway;Netherlands;141938802
Norway;Belgium;152897501.6
Norway;Czechia;58988034.42
Norway;Poland;4997423.665
Norway;Spain;37613892.36
Norway;Italy;88231722.31
Norway;Germany;532072536.9
Norway;Belgium;111713708.6
Norway;Czechia;58988034.42
France;Algeria;5129.362
France;USA;36715.43
France;Norway;6194.502
France;Hungary;188.976
France;French Polynesia;3064.119
France;Pakistan;3970.96
France;Türkiye;8030.273
France;Tunisia;3009623.468
France;United Arab Emirates;15844.573
France;Poland;4915.843
France;Panama;1269573.444
France;Nigeria;3361182.304
France;New Caledonia;5825.139
France;Japan;85147.403
France;Israel;11377.857
France;Ireland;19192.157
France;China, Hong Kong SAR;31405.682
France;Guinea;21832.919
France;Denmark;11631.87
France;Canada;2028307.875
France;Andorra;56529.737
France;Sweden;24687.2
France;Senegal;1771318.269
France;Russian Federation;7917.378
France;Tunisia;11453635.63
France;United Arab Emirates;8226.488
France;Togo;12378.196
France;Syria;3132642.784
France;Lithuania;319.732
France;Latvia;7548.56
Norway;France;235385174.7
Norway;Netherlands;124935593.5
Norway;United Kingdom;208746943.3
Norway;Sweden;58198388.92
Norway;Finland;19098478.07
Norway;Guatemala;22409292.04
Norway;USA;17248617.67
